item_code,uom,unit_price,description,page
101000001,KM,1690.00,"المسح الأرضي لمسارات الخطوط الرئيسية والتفريعات Field surveying of main feeders, cables and branches routes (MV / LV,Tra",1
101000002,EA,700.00,"تحديد الإحداثيات لموقع معين Determination / marking of the coordinates for a specified location, including determination",1
102000001,EA,137.00,الرفع المساحي لمحطات التوزيع الرئيسية Field survey and Conversion of Grid Stations (Location and Attributes/Image) shoul,1
102000002,EA,35.00,الرفع المساحي للمعدات الارضية Field survey of UG equipment (Location and Attributes/Image) should be collected and conve,1
102000003,EA,46.00,الرفع المساحي لعداد واحد Field survey of a Customer Meter (Location and Attributes/Image) should be collected and then c,1
102000004,KM,556.00,الرفع المساحي للشبكات الهوائية شاملا رفع المعدات المركبة Field survey of Overhead Networks with its Components (Location,1
102000005,KM,59.00,الرفع المساحي للشبكات الهوائية بدون رفع المعدات المركبة Field survey of Overhead Networks without its components (Locati,2
201020101,EA,1555.00,استبدال عمود حديدي<=10م في تربة عادية/ رملية Replacement of steel pole up to and including 10 meter in normal / sandy so,3
201020102,EA,1787.00,استبدال عمود حديدي<=10م في تربة صخرية Replacement of steel pole up to and including 10 meter in rocky soil ( that requir,3
201020103,EA,1753.00,استبدال عمود حديدي>10م<=15م في تربة عادية / رملية Replacement of steel pole above 10 meter up to and including 15 meter ,3
201020104,EA,2099.00,استبدال عمود حديدي>10م<=15م في تربة صخرية Replacement of steel pole above 10 meter up to and including 15 meter in rocky,3
201020105,EA,2004.00,استبدال عمود حديدي>15م<= 23م في تربة عادية / رملية Replacement of steel pole more than 15 meter up to and including 23 m,3
201020106,EA,2362.00,استبدال عمود حديدي>15م<= 23م في تربة صخرية Replacement of steel pole more than 15 meter up to and including 23 meter in ,3
201020107,EA,2855.00,استبدال عمود حديدي>23م في تربة عادية/ رمليةReplacement of steel pole more than 23 meter in normal / sandy soil including,3
201020109,EA,1780.00,استبدال عمود حديدي ذاتي الدعم<= 15م في تربة عادية / رملية Replacement of self support steel pole up to and including 15 ,3
201020110,EA,2175.00,"استبدال عمود حديدي ذاتي الدعم<= 15م في تربة صخرية Replacement of self support steel pole up to and including 15 meter, i",3
201020111,EA,1599.00,استبدال عمود خشبي بعمود حديدي<= 15م في تربة عادية / رملية Replacement of wooden pole with steel pole up to and including,3
201020112,EA,1898.00,استبدال عمود خشبي بعمود حديدي<= 15م في تربة صخرية Replacement of wooden pole with steel pole up to and including 15 mete,3
201020201,EA,1547.00,استبدال عمود خرساني<=10م في تربه عادية/ رملية Replacement of concrete pole up to and including 10 meter in normal / sand,3
201020202,EA,1799.00,استبدال عمود خرساني<=10م في تربه صخرية Replacement of concrete pole up to and including 10 meter in rocky soil ( that re,3
201020203,EA,1714.00,استبدال عمود خرساني>10م<=15م في تربه عادية / رملية Replacement of concrete pole above 10 meter up to and including 15 me,3
201020204,EA,2015.00,استبدال عمود خرساني>10م<=15م في تربه صخرية Replacement of concrete pole above 10 meter up to and including 15 meter in r,3
201020205,EA,2177.00,استبدال عمودخرساني>15م<=25م في تربه عادية / رملية Replacement of concrete pole more than 15 meter up to and including 25,3
201020206,EA,2549.00,استبدال عمودخرساني>15م<=25م في تربه صخرية Replacement of concrete pole more than 15 meter up to and including 25 meter i,3
